A015PEN       0175200000
C040FRYIN-PAN.0185100000
A141WHEELCHAIR1.25237912
A042RING      1130
D050
D721
9060SINK      9500777777
C453CHEST     0995276154
A030HANDLE    7500417610
A795IRON        61211111
C105BENCH     5000110047
A017FOLDER    1791227766
EN05          9999999999
A1K7** BILL **0000000000
A210    ALBUMS4999177666
C211RIBBON    0100216142
C240DESK PAD  0049
A007SIDE TABLE4777176154
C241TEMPLATE  5001ABCDEF
A001          4999166700
C019TAPE      1111337766
 999CALENDER  0054174295
D450
A997BINDERN   1721270000
D451
A665BOOK      2222100000
DA52
A555RULER     0139276111
A               01999999
C666STAPLER   1111222222
C669REMOVER   2222333333
D700
A701BINDER    0100111111
A702L.H. BENCH4999376142
C999BENCHPRESS0999299842
D111CHAIN SAW
C232CALENDAR  09292QW12A
